instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_group
43,2011-02-12,1,0,Februari,0,6,0,1,0.2225,11.6477,0.544167,0.203367,288,1184,1472,Dingin
44,2011-02-13,1,0,Februari,0,0,0,1,0.316522,16.20565,0.457391,0.260883,397,1192,1589,Dingin
45,2011-02-14,1,0,Februari,0,1,1,1,0.415,19.9175,0.375833,0.417908,208,1705,1913,Sejuk
46,2011-02-15,1,0,Februari,0,2,1,1,0.266087,12.7137,0.314348,0.291374,140,1675,1815,Dingin
47,2011-02-16,1,0,Februari,0,3,1,1,0.318261,15.809999999999999,0.423478,0.251791,218,1897,2115,Dingin
48,2011-02-17,1,0,Februari,0,4,1,1,0.435833,21.4329,0.505,0.230104,259,2216,2475,Sejuk
49,2011-02-18,1,0,Februari,0,5,1,1,0.521667,25.599149999999998,0.516667,0.264925,579,2348,2927,Sejuk
50,2011-02-19,1,0,Februari,0,6,0,1,0.399167,19.5702,0.187917,0.507463,532,1103,1635,Sejuk
51,2011-02-20,1,0,Februari,0,0,0,1,0.285217,13.8665,0.407826,0.223235,639,1173,1812,Dingin
52,2011-02-21,1,0,Februari,1,1,0,2,0.303333,14.203750000000001,0.605,0.307846,195,912,1107,Dingin
53,2011-02-22,1,0,Februari,0,2,1,1,0.182222,9.30165,0.577778,0.195683,74,1376,1450,Dingin
54,2011-02-23,1,0,Februari,0,3,1,1,0.221739,12.28585,0.423043,0.094113,139,1778,1917,Dingin
55,2011-02-24,1,0,Februari,0,4,1,2,0.295652,14.459549999999998,0.697391,0.250496,100,1707,1807,Dingin
56,2011-02-25,1,0,Februari,0,5,1,2,0.364348,17.52305,0.712174,0.346539,120,1341,1461,Dingin
57,2011-02-26,1,0,Februari,0,6,0,1,0.2825,14.1096,0.537917,0.186571,424,1545,1969,Dingin
58,2011-02-27,1,0,Februari,0,0,0,1,0.343478,17.55545,0.68,0.125248,694,1708,2402,Dingin
59,2011-02-28,1,0,Februari,0,1,1,2,0.407273,20.005899999999997,0.876364,0.289686,81,1365,1446,Sejuk
60,2011-03-01,1,0,Maret,0,2,1,1,0.266667,13.19395,0.535,0.216425,137,1714,1851,Dingin
61,2011-03-02,1,0,Maret,0,3,1,1,0.335,16.00355,0.449583,0.307833,231,1903,2134,Dingin
62,2011-03-03,1,0,Maret,0,4,1,1,0.198333,10.00665,0.318333,0.225754,123,1562,1685,Dingin
63,2011-03-04,1,0,Maret,0,5,1,2,0.261667,12.783949999999999,0.610417,0.203346,214,1730,1944,Dingin
64,2011-03-05,1,0,Maret,0,6,0,2,0.384167,18.93895,0.789167,0.251871,640,1437,2077,Sejuk
65,2011-03-06,1,0,Maret,0,0,0,2,0.376522,18.3126,0.948261,0.343287,114,491,605,Sejuk
66,2011-03-07,1,0,Maret,0,1,1,1,0.261739,11.92305,0.551304,0.341352,244,1628,1872,Dingin
67,2011-03-08,1,0,Maret,0,2,1,1,0.2925,15.120000000000001,0.420833,0.12065,316,1817,2133,Dingin
68,2011-03-09,1,0,Maret,0,3,1,2,0.295833,14.3304,0.775417,0.22015,191,1700,1891,Dingin
69,2011-03-10,1,0,Maret,0,4,1,3,0.389091,19.2834,0.0,0.261877,46,577,623,Sejuk
70,2011-03-11,1,0,Maret,0,5,1,2,0.316522,15.25,0.649565,0.23297,247,1730,1977,Dingin
71,2011-03-12,1,0,Maret,0,6,0,1,0.329167,16.287499999999998,0.594583,0.220775,724,1408,2132,Dingin
72,2011-03-13,1,0,Maret,0,0,0,1,0.384348,19.004550000000002,0.527391,0.270604,982,1435,2417,Sejuk
73,2011-03-14,1,0,Maret,0,1,1,1,0.325217,16.6,0.496957,0.136926,359,1687,2046,Dingin
74,2011-03-15,1,0,Maret,0,2,1,2,0.317391,15.908900000000001,0.655652,0.184309,289,1767,2056,Dingin
75,2011-03-16,1,0,Maret,0,3,1,2,0.365217,18.3465,0.776522,0.203117,321,1871,2192,Sejuk
76,2011-03-17,1,0,Maret,0,4,1,1,0.415,20.51665,0.602917,0.209579,424,2320,2744,Sejuk
77,2011-03-18,1,0,Maret,0,5,1,1,0.54,26.35045,0.525217,0.231017,884,2355,3239,Sejuk
78,2011-03-19,1,0,Maret,0,6,0,1,0.4725,23.32625,0.379167,0.368167,1424,1693,3117,Sejuk
79,2011-03-20,1,0,Maret,0,0,0,1,0.3325,16.287499999999998,0.47375,0.207721,1047,1424,2471,Dingin
80,2011-03-21,2,0,Maret,0,1,1,2,0.430435,20.48675,0.737391,0.288783,401,1676,2077,Sejuk
81,2011-03-22,2,0,Maret,0,2,1,1,0.441667,22.0321,0.624583,0.22575,460,2243,2703,Sejuk
82,2011-03-23,2,0,Maret,0,3,1,2,0.346957,16.89695,0.839565,0.234261,203,1918,2121,Dingin
83,2011-03-24,2,0,Maret,0,4,1,2,0.285,13.541649999999999,0.805833,0.243787,166,1699,1865,Dingin
84,2011-03-25,2,0,Maret,0,5,1,1,0.264167,12.8156,0.495,0.230725,300,1910,2210,Dingin
85,2011-03-26,2,0,Maret,0,6,0,1,0.265833,12.87855,0.394167,0.209571,981,1515,2496,Dingin
86,2011-03-27,2,0,Maret,0,0,0,2,0.253043,12.51695,0.493913,0.1843,472,1221,1693,Dingin
87,2011-03-28,2,0,Maret,0,1,1,1,0.264348,12.878700000000002,0.302174,0.212204,222,1806,2028,Dingin
88,2011-03-29,2,0,Maret,0,2,1,1,0.3025,14.6454,0.314167,0.226996,317,2108,2425,Dingin
89,2011-03-30,2,0,Maret,0,3,1,2,0.3,14.8675,0.646667,0.172888,168,1368,1536,Dingin
90,2011-03-31,2,0,Maret,0,4,1,3,0.268333,12.87875,0.918333,0.217646,179,1506,1685,Dingin
91,2011-04-01,2,0,April,0,5,1,2,0.3,14.172699999999999,0.68625,0.258708,307,1920,2227,Dingin
92,2011-04-02,2,0,April,0,6,0,2,0.315,15.78185,0.65375,0.197146,898,1354,2252,Dingin
93,2011-04-03,2,0,April,0,0,0,1,0.378333,18.93835,0.48,0.182213,1651,1598,3249,Sejuk
94,2011-04-04,2,0,April,0,1,1,1,0.573333,27.14645,0.42625,0.385571,734,2381,3115,Sejuk
95,2011-04-05,2,0,April,0,2,1,2,0.414167,19.9175,0.642083,0.388067,167,1628,1795,Sejuk
96,2011-04-06,2,0,April,0,3,1,1,0.390833,19.3804,0.470833,0.263063,413,2395,2808,Sejuk
97,2011-04-07,2,0,April,0,4,1,1,0.4375,21.684800000000003,0.602917,0.162312,571,2570,3141,Sejuk
98,2011-04-08,2,0,April,0,5,1,2,0.335833,16.223950000000002,0.83625,0.226992,172,1299,1471,Dingin
99,2011-04-09,2,0,April,0,6,0,2,0.3425,17.07645,0.8775,0.133083,879,1576,2455,Dingin
100,2011-04-10,2,0,April,0,0,0,2,0.426667,21.33685,0.8575,0.146767,1188,1707,2895,Sejuk
101,2011-04-11,2,0,April,0,1,1,2,0.595652,28.260849999999998,0.716956,0.324474,855,2493,3348,Sejuk
102,2011-04-12,2,0,April,0,2,1,2,0.5025,24.6527,0.739167,0.274879,257,1777,2034,Sejuk
103,2011-04-13,2,0,April,0,3,1,2,0.4125,20.864150000000002,0.819167,0.250617,209,1953,2162,Sejuk
104,2011-04-14,2,0,April,0,4,1,1,0.4675,23.1371,0.540417,0.1107,529,2738,3267,Sejuk
105,2011-04-15,2,0,April,1,5,0,1,0.446667,22.09565,0.67125,0.226375,642,2484,3126,Sejuk
106,2011-04-16,2,0,April,0,6,0,3,0.430833,21.2746,0.888333,0.340808,121,674,795,Sejuk
107,2011-04-17,2,0,April,0,0,0,1,0.456667,22.2848,0.479583,0.303496,1558,2186,3744,Sejuk
108,2011-04-18,2,0,April,0,1,1,1,0.5125,25.1573,0.5425,0.163567,669,2760,3429,Sejuk
109,2011-04-19,2,0,April,0,2,1,2,0.505833,24.4629,0.665833,0.157971,409,2795,3204,Sejuk
110,2011-04-20,2,0,April,0,3,1,1,0.595,28.2196,0.614167,0.241925,613,3331,3944,Sejuk
111,2011-04-21,2,0,April,0,4,1,1,0.459167,22.6946,0.407083,0.325258,745,3444,4189,Sejuk
112,2011-04-22,2,0,April,0,5,1,2,0.336667,16.0977,0.729583,0.219521,177,1506,1683,Dingin
113,2011-04-23,2,0,April,0,6,0,2,0.46,22.50605,0.887917,0.230725,1462,2574,4036,Sejuk
114,2011-04-24,2,0,April,0,0,0,2,0.581667,27.58815,0.810833,0.192175,1710,2481,4191,Sejuk
115,2011-04-25,2,0,April,0,1,1,1,0.606667,28.725,0.776667,0.185333,773,3300,4073,Sejuk
116,2011-04-26,2,0,April,0,2,1,1,0.631667,29.704150000000002,0.729167,0.3265,678,3722,4400,Sejuk
117,2011-04-27,2,0,April,0,3,1,2,0.62,28.7571,0.835417,0.3122,547,3325,3872,Sejuk
118,2011-04-28,2,0,April,0,4,1,2,0.6175,28.946450000000002,0.700833,0.320908,569,3489,4058,Sejuk
119,2011-04-29,2,0,April,0,5,1,1,0.51,24.87315,0.457083,0.240063,878,3717,4595,Sejuk
120,2011-04-30,2,0,April,0,6,0,1,0.4725,23.201050000000002,0.503333,0.235075,1965,3347,5312,Sejuk
121,2011-05-01,2,0,Mei,0,0,0,2,0.451667,22.4102,0.762083,0.106354,1138,2213,3351,Sejuk
122,2011-05-02,2,0,Mei,0,1,1,2,0.549167,26.64165,0.73,0.183454,847,3554,4401,Sejuk
123,2011-05-03,2,0,Mei,0,2,1,2,0.616667,29.10395,0.697083,0.342667,603,3848,4451,Sejuk
124,2011-05-04,2,0,Mei,0,3,1,2,0.414167,20.2325,0.737083,0.328996,255,2378,2633,Sejuk
125,2011-05-05,2,0,Mei,0,4,1,1,0.459167,22.09585,0.444167,0.295392,614,3819,4433,Sejuk
126,2011-05-06,2,0,Mei,0,5,1,1,0.479167,23.70585,0.59,0.228246,894,3714,4608,Sejuk
127,2011-05-07,2,0,Mei,0,6,0,1,0.52,25.63105,0.54125,0.16045,1612,3102,4714,Sejuk
128,2011-05-08,2,0,Mei,0,0,0,1,0.528333,25.946649999999998,0.631667,0.0746375,1401,2932,4333,Sejuk
129,2011-05-09,2,0,Mei,0,1,1,1,0.5325,26.2623,0.58875,0.176,664,3698,4362,Sejuk
130,2011-05-10,2,0,Mei,0,2,1,1,0.5325,26.13605,0.489167,0.115671,694,4109,4803,Sejuk
131,2011-05-11,2,0,Mei,0,3,1,1,0.5425,26.419999999999998,0.632917,0.120642,550,3632,4182,Sejuk
132,2011-05-12,2,0,Mei,0,4,1,1,0.535,26.16815,0.7475,0.189667,695,4169,4864,Sejuk
133,2011-05-13,2,0,Mei,0,5,1,2,0.5125,24.715,0.863333,0.179725,692,3413,4105,Sejuk
134,2011-05-14,2,0,Mei,0,6,0,2,0.520833,25.03145,0.9225,0.13495,902,2507,3409,Sejuk
135,2011-05-15,2,0,Mei,0,0,0,2,0.5625,26.8,0.867083,0.152979,1582,2971,4553,Sejuk
136,2011-05-16,2,0,Mei,0,1,1,1,0.5775,27.5256,0.787917,0.126871,773,3185,3958,Sejuk
137,2011-05-17,2,0,Mei,0,2,1,2,0.561667,26.926450000000003,0.837917,0.277354,678,3445,4123,Sejuk
138,2011-05-18,2,0,Mei,0,3,1,2,0.55,26.3579,0.87,0.201492,536,3319,3855,Sejuk
139,2011-05-19,2,0,Mei,0,4,1,2,0.530833,25.537100000000002,0.829583,0.108213,735,3840,4575,Sejuk
140,2011-05-20,2,0,Mei,0,5,1,1,0.536667,26.4521,0.719583,0.125013,909,4008,4917,Sejuk
141,2011-05-21,2,0,Mei,0,6,0,1,0.6025,28.59875,0.626667,0.12065,2258,3547,5805,Sejuk
142,2011-05-22,2,0,Mei,0,0,0,1,0.604167,28.725,0.749583,0.148008,1576,3084,4660,Sejuk
143,2011-05-23,2,0,Mei,0,1,1,2,0.631667,29.5148,0.81,0.233842,836,3438,4274,Sejuk
144,2011-05-24,2,0,Mei,0,2,1,2,0.66,30.240650000000002,0.740833,0.207092,659,3833,4492,Panas
145,2011-05-25,2,0,Mei,0,3,1,1,0.660833,30.7771,0.69625,0.154233,740,4238,4978,Panas
146,2011-05-26,2,0,Mei,0,4,1,1,0.708333,32.7344,0.6775,0.199642,758,3919,4677,Panas
147,2011-05-27,2,0,Mei,0,5,1,1,0.681667,31.8504,0.65375,0.240679,871,3808,4679,Panas
148,2011-05-28,2,0,Mei,0,6,0,1,0.655833,30.61895,0.729583,0.230092,2001,2757,4758,Panas
149,2011-05-29,2,0,Mei,0,0,0,1,0.6675,30.777500000000003,0.81875,0.213938,2355,2433,4788,Panas
150,2011-05-30,2,0,Mei,1,1,0,1,0.733333,33.5546,0.685,0.131225,1549,2549,4098,Panas
151,2011-05-31,2,0,Mei,0,2,1,1,0.775,36.26915,0.636667,0.111329,673,3309,3982,Panas
152,2011-06-01,2,0,Juni,0,3,1,2,0.764167,36.04835,0.677083,0.207092,513,3461,3974,Panas
153,2011-06-02,2,0,Juni,0,4,1,1,0.715,32.1971,0.305,0.292287,736,4232,4968,Panas
154,2011-06-03,2,0,Juni,0,5,1,1,0.62,29.356650000000002,0.354167,0.253121,898,4414,5312,Sejuk
155,2011-06-04,2,0,Juni,0,6,0,1,0.635,29.7348,0.45625,0.123142,1869,3473,5342,Sejuk
156,2011-06-05,2,0,Juni,0,0,0,2,0.648333,30.8402,0.6525,0.138692,1685,3221,4906,Panas
157,2011-06-06,2,0,Juni,0,1,1,1,0.678333,31.0929,0.6,0.121896,673,3875,4548,Panas
158,2011-06-07,2,0,Juni,0,2,1,1,0.7075,32.7975,0.597917,0.187808,763,4070,4833,Panas
159,2011-06-08,2,0,Juni,0,3,1,1,0.775833,36.36395,0.622083,0.136817,676,3725,4401,Panas
160,2011-06-09,2,0,Juni,0,4,1,2,0.808333,37.87895,0.568333,0.149883,563,3352,3915,Panas
161,2011-06-10,2,0,Juni,0,5,1,1,0.755,35.1646,0.605,0.140554,815,3771,4586,Panas
162,2011-06-11,2,0,Juni,0,6,0,1,0.725,33.901900000000005,0.654583,0.15485,1729,3237,4966,Panas
163,2011-06-12,2,0,Juni,0,0,0,1,0.6925,32.166250000000005,0.747917,0.163567,1467,2993,4460,Panas
164,2011-06-13,2,0,Juni,0,1,1,1,0.635,30.082700000000003,0.494583,0.30535,863,4157,5020,Panas
165,2011-06-14,2,0,Juni,0,2,1,1,0.604167,29.5773,0.507083,0.269283,727,4164,4891,Sejuk
166,2011-06-15,2,0,Juni,0,3,1,1,0.626667,29.3877,0.471667,0.167912,769,4411,5180,Sejuk
167,2011-06-16,2,0,Juni,0,4,1,2,0.628333,29.767300000000002,0.688333,0.206471,545,3222,3767,Sejuk
168,2011-06-17,2,0,Juni,0,5,1,1,0.649167,30.01915,0.735833,0.143029,863,3981,4844,Panas
169,2011-06-18,2,0,Juni,0,6,0,1,0.696667,32.197700000000005,0.670417,0.119408,1807,3312,5119,Panas
170,2011-06-19,2,0,Juni,0,0,0,2,0.699167,32.292300000000004,0.666667,0.102,1639,3105,4744,Panas
171,2011-06-20,2,0,Juni,0,1,1,2,0.635,29.767300000000002,0.74625,0.155475,699,3311,4010,Sejuk
172,2011-06-21,3,0,Juni,0,2,1,2,0.680833,31.8823,0.770417,0.171025,774,4061,4835,Panas
173,2011-06-22,3,0,Juni,0,3,1,1,0.733333,34.69145,0.7075,0.172262,661,3846,4507,Panas
174,2011-06-23,3,0,Juni,0,4,1,2,0.728333,34.69165,0.703333,0.238804,746,4044,4790,Panas
175,2011-06-24,3,0,Juni,0,5,1,1,0.724167,32.82915,0.573333,0.222025,969,4022,4991,Panas
176,2011-06-25,3,0,Juni,0,6,0,1,0.695,32.16565,0.483333,0.209571,1782,3420,5202,Panas
177,2011-06-26,3,0,Juni,0,0,0,1,0.68,31.88145,0.513333,0.0945333,1920,3385,5305,Panas
178,2011-06-27,3,0,Juni,0,1,1,2,0.6825,31.8502,0.658333,0.107588,854,3854,4708,Panas
179,2011-06-28,3,0,Juni,0,2,1,1,0.744167,34.6279,0.634167,0.144283,732,3916,4648,Panas
180,2011-06-29,3,0,Juni,0,3,1,1,0.728333,32.7344,0.497917,0.261821,848,4377,5225,Panas
181,2011-06-30,3,0,Juni,0,4,1,1,0.696667,31.8504,0.434167,0.185312,1027,4488,5515,Panas
182,2011-07-01,3,0,Juli,0,5,1,1,0.7225,32.6081,0.39625,0.102608,1246,4116,5362,Panas
183,2011-07-02,3,0,Juli,0,6,0,1,0.738333,33.3654,0.444583,0.115062,2204,2915,5119,Panas
184,2011-07-03,3,0,Juli,0,0,0,2,0.716667,33.42875,0.6825,0.228858,2282,2367,4649,Panas
185,2011-07-04,3,0,Juli,1,1,0,2,0.726667,33.27085,0.637917,0.0814792,3065,2978,6043,Panas
186,2011-07-05,3,0,Juli,0,2,1,1,0.746667,34.816900000000004,0.590417,0.126258,1031,3634,4665,Panas
187,2011-07-06,3,0,Juli,0,3,1,1,0.72,34.28165,0.743333,0.149883,784,3845,4629,Panas
188,2011-07-07,3,0,Juli,0,4,1,1,0.75,34.34355,0.65125,0.1592,754,3838,4592,Panas
189,2011-07-08,3,0,Juli,0,5,1,2,0.709167,33.524150000000006,0.757917,0.225129,692,3348,4040,Panas
190,2011-07-09,3,0,Juli,0,6,0,1,0.733333,33.2079,0.609167,0.167912,1988,3348,5336,Panas
191,2011-07-10,3,0,Juli,0,0,0,1,0.7475,34.50125,0.578333,0.183471,1743,3138,4881,Panas
192,2011-07-11,3,0,Juli,0,1,1,1,0.7625,36.4902,0.635833,0.282337,723,3363,4086,Panas
193,2011-07-12,3,0,Juli,0,2,1,1,0.794167,36.96375,0.559167,0.200254,662,3596,4258,Panas
194,2011-07-13,3,0,Juli,0,3,1,1,0.746667,34.4702,0.631667,0.146133,748,3594,4342,Panas
195,2011-07-14,3,0,Juli,0,4,1,1,0.680833,31.7552,0.47625,0.240667,888,4196,5084,Panas
196,2011-07-15,3,0,Juli,0,5,1,1,0.663333,31.21855,0.59125,0.182833,1318,4220,5538,Panas
197,2011-07-16,3,0,Juli,0,6,0,1,0.686667,31.91315,0.585,0.208342,2418,3505,5923,Panas
198,2011-07-17,3,0,Juli,0,0,0,1,0.719167,33.49165,0.604167,0.245033,2006,3296,5302,Panas
199,2011-07-18,3,0,Juli,0,1,1,1,0.746667,35.19625,0.65125,0.215804,841,3617,4458,Panas
200,2011-07-19,3,0,Juli,0,2,1,1,0.776667,37.37395,0.650417,0.1306,752,3789,4541,Panas
201,2011-07-20,3,0,Juli,0,3,1,1,0.768333,37.3425,0.707083,0.113817,644,3688,4332,Panas
202,2011-07-21,3,0,Juli,0,4,1,2,0.815,41.31855,0.69125,0.222021,632,3152,3784,Panas
203,2011-07-22,3,0,Juli,0,5,1,1,0.848333,42.0448,0.580417,0.1331,562,2825,3387,Panas
204,2011-07-23,3,0,Juli,0,6,0,1,0.849167,40.214349999999996,0.5,0.131221,987,2298,3285,Panas
205,2011-07-24,3,0,Juli,0,0,0,1,0.83,39.74145,0.550833,0.169171,1050,2556,3606,Panas
206,2011-07-25,3,0,Juli,0,1,1,1,0.743333,36.0479,0.757083,0.0908083,568,3272,3840,Panas
207,2011-07-26,3,0,Juli,0,2,1,1,0.771667,34.84895,0.540833,0.200258,750,3840,4590,Panas
208,2011-07-27,3,0,Juli,0,3,1,1,0.775,34.53335,0.402917,0.183463,755,3901,4656,Panas
209,2011-07-28,3,0,Juli,0,4,1,1,0.779167,36.995,0.583333,0.178479,606,3784,4390,Panas
210,2011-07-29,3,0,Juli,0,5,1,1,0.838333,39.29835,0.5425,0.174138,670,3176,3846,Panas
211,2011-07-30,3,0,Juli,0,6,0,1,0.804167,36.42685,0.465833,0.168537,1559,2916,4475,Panas
212,2011-07-31,3,0,Juli,0,0,0,1,0.805833,36.4898,0.480833,0.164813,1524,2778,4302,Panas
213,2011-08-01,3,0,Agustus,0,1,1,1,0.771667,35.1646,0.550833,0.156717,729,3537,4266,Panas
214,2011-08-02,3,0,Agustus,0,2,1,1,0.783333,35.35355,0.49125,0.20585,801,4044,4845,Panas
215,2011-08-03,3,0,Agustus,0,3,1,2,0.731667,33.99685,0.6575,0.135583,467,3107,3574,Panas
216,2011-08-04,3,0,Agustus,0,4,1,2,0.71,33.2394,0.7575,0.19715,799,3777,4576,Panas
217,2011-08-05,3,0,Agustus,0,5,1,1,0.710833,32.82835,0.630833,0.184696,1023,3843,4866,Panas
218,2011-08-06,3,0,Agustus,0,6,0,2,0.716667,33.807700000000004,0.755,0.22825,1521,2773,4294,Panas
219,2011-08-07,3,0,Agustus,0,0,0,1,0.7425,35.7646,0.752917,0.201487,1298,2487,3785,Panas
220,2011-08-08,3,0,Agustus,0,1,1,1,0.765,35.16415,0.592083,0.192175,846,3480,4326,Panas
221,2011-08-09,3,0,Agustus,0,2,1,1,0.775,36.20605,0.570417,0.151121,907,3695,4602,Panas
222,2011-08-10,3,0,Agustus,0,3,1,1,0.766667,34.24915,0.424167,0.200258,884,3896,4780,Panas
223,2011-08-11,3,0,Agustus,0,4,1,1,0.7175,32.57605,0.42375,0.164796,812,3980,4792,Panas
224,2011-08-12,3,0,Agustus,0,5,1,1,0.708333,32.7021,0.415,0.125621,1051,3854,4905,Panas
225,2011-08-13,3,0,Agustus,0,6,0,2,0.685833,32.2929,0.729583,0.211454,1504,2646,4150,Panas
226,2011-08-14,3,0,Agustus,0,0,0,2,0.676667,31.219400000000004,0.8175,0.222633,1338,2482,3820,Panas
227,2011-08-15,3,0,Agustus,0,1,1,1,0.665833,30.80835,0.712083,0.208954,775,3563,4338,Panas
228,2011-08-16,3,0,Agustus,0,2,1,1,0.700833,32.29185,0.578333,0.236329,721,4004,4725,Panas
229,2011-08-17,3,0,Agustus,0,3,1,1,0.723333,33.33355,0.575417,0.143667,668,4026,4694,Panas
230,2011-08-18,3,0,Agustus,0,4,1,1,0.711667,33.1129,0.654583,0.233208,639,3166,3805,Panas
231,2011-08-19,3,0,Agustus,0,5,1,2,0.685,31.661050000000003,0.722917,0.139308,797,3356,4153,Panas
232,2011-08-20,3,0,Agustus,0,6,0,1,0.6975,32.4498,0.674167,0.104467,1914,3277,5191,Panas
233,2011-08-21,3,0,Agustus,0,0,0,1,0.710833,33.776250000000005,0.77,0.248754,1249,2624,3873,Panas
234,2011-08-22,3,0,Agustus,0,1,1,1,0.691667,31.9127,0.47,0.27675,833,3925,4758,Panas
235,2011-08-23,3,0,Agustus,0,2,1,1,0.640833,30.303350000000002,0.455417,0.146763,1281,4614,5895,Panas
236,2011-08-24,3,0,Agustus,0,3,1,1,0.673333,31.5346,0.605,0.253108,949,4181,5130,Panas
237,2011-08-25,3,0,Agustus,0,4,1,2,0.684167,32.2927,0.771667,0.210833,435,3107,3542,Panas
238,2011-08-26,3,0,Agustus,0,5,1,1,0.7,32.98665,0.76125,0.0839625,768,3893,4661,Panas
